place_name,type,mention_count,total_digg,total_plays,max_followers,price_mentions,video_urls,confidence_high,popularity_score,aliases,reason
Kissa Cafe & Diner,cafe,1,516,16700,1400000,,https://www.tiktok.com/@kl.foodie/video/7638513319166463252,0,12.19,,low_score_16.666666666666664
Café Cột Sắt,cafe,1,201,11600,789800,,https://www.tiktok.com/@nhandian/video/7635214351682522388,0,11.36,,low_score_54.54545454545454
Nan Hor,cafe,1,130,10600,6106,,https://www.tiktok.com/@nanhor_/video/7365333594476137745,1,11.19,,low_score_50.0
Da Lat city,khác,1,210,8226,5941,,https://www.tiktok.com/@charlie.tsg/video/7578522219459005718,0,11.03,,low_score_59.44444444444444
Da Lat Railway Station,địa điểm checkin,1,213,6848,210100,,https://www.tiktok.com/@vietnamtodayvtv/video/7577343259538689298,1,10.9,,low_score_11.764705882352944
Cuối tuần Linn đi Đà Lạt,homestay,1,89,7891,13200,,https://www.tiktok.com/@linnsharinghomedalat/video/7536814876862221576,1,10.88,,low_score_48.484848484848484
ATÊ goy,cafe,1,90,7562,458,,https://www.tiktok.com/@atesignature.dalat/video/7618554983851691284,1,10.85,,low_score_36.36363636363637
Chè và bún huế,chợ quán,1,126,6843,1322,,https://www.tiktok.com/@ngocdilacreview/video/7638502808114760980,0,10.81,,low_score_55.172413793103445
Moidalat,cafe,1,130,6665,184,baotienmotmobinhyen,https://www.tiktok.com/@caphedalat01/video/7390576299573562644,1,10.8,Cafe Moidalat,low_score_40.0
Tiệm cà phê Custty - Coffee & More Đà Lạt,cafe,1,58,7331,184,,https://www.tiktok.com/@caphedalat01/video/7450131900565327111,1,10.79,,low_score_54.54545454545454
Catam,cafe,1,278,3673,32400,,https://www.tiktok.com/@chuyenlaca_/video/7564389953900170503,1,10.65,,low_score_54.54545454545454
Nơi nào cafe đẹp,cafe,1,36,6144,1568,,https://www.tiktok.com/@gotaditravel/video/7615478825572388117,0,10.65,,low_score_48.78048780487805
Long Quan Dui,homestay,1,54,4336,139400,,https://www.tiktok.com/@longquandui/video/7603970364657421586,1,10.49,,low_score_58.06451612903225
Sleepbox,homestay,1,31,4446,1763,,https://www.tiktok.com/@bbgarden.dalat/video/7510101496059546888,1,10.48,Sleepbox tại BB's Garden,low_score_41.666666666666664
Chợ LightGem,chợ quán,1,76,2634,3440,,https://www.tiktok.com/@thaodiuu/video/7636721569640877319,1,10.34,,low_score_55.0
Khách sạn Hoa Quynh,khách sạn,1,43,2717,26100,,https://www.tiktok.com/@hoaquynhdalat/video/7634786190746488082,0,10.31,,low_score_50.0
Check-in free,địa điểm checkin,1,51,2449,43,,https://www.tiktok.com/@quin.pham997/video/7638249784771349780,0,10.3,,low_score_48.484848484848484
Thác Phí Liêng,thiên nhiên,1,104,1912,159,,https://www.tiktok.com/@datvolamdong/video/7634156937034173716,1,10.3,,out_of_dalat
Vườn cam Cara ruột đỏ,thiên nhiên,1,25,2110,2726,,https://www.tiktok.com/@thuy_nina2/video/7438507038516202760,1,10.24,,out_of_dalat
Chiếc Riêng,chợ quán,1,17,2011,3037,còn phải chăng,https://www.tiktok.com/@cuocsongovungtau/video/7632905110674230548,1,10.22,,low_score_54.54545454545454
Cafe Tuimo,cafe,1,62,1606,368,,https://www.tiktok.com/@nurrul.k/video/7347781883209534726,1,10.22,,low_score_38.70967741935484
Quán cà phê ấm áp,chợ quán,1,68,1485,2582,,https://www.tiktok.com/@gocnhodalat_01/video/7565844061144239367,0,10.22,,low_score_47.36842105263158
Homestay có chiếc bếp view triệu đô săn mây mỗi sáng,homestay,1,18,1851,192,,https://www.tiktok.com/@lilythichdichoi/video/7559603261465218325,1,10.2,,low_score_49.523809523809526
Địa điểm check in miễn phí,địa điểm checkin,1,62,1212,515,,https://www.tiktok.com/@dahala.travel/video/7566847171107081480,0,10.18,,low_score_57.77777777777777
Vườn cam canh K'long K'lanh,thiên nhiên,1,60,984,2681,,https://www.tiktok.com/@lcd_dalat/video/7590671504824749332,1,10.16,,out_of_dalat
Home đẹp,homestay,1,34,1167,1530,giá rẻ,https://www.tiktok.com/@duyenbookingdalat/video/7614884311837281554,1,10.15,,low_score_50.0
Quán cafe check in Cực Chill,cafe | địa điểm checkin,1,35,622,16500,,https://www.tiktok.com/@anh_tai_xe_da_lat/video/7399143522173029639,1,10.1,,low_score_55.319148936170215
Si ☕🌿,cafe,1,31,616,2711,,https://www.tiktok.com/@sidalat.caphe/video/7638641386215984392,1,10.09,,low_score_45.769230769230774
Tiệm cà phê trong Rừng,cafe,1,26,592,113,,https://www.tiktok.com/@vudasar/video/7590390530903641364,1,10.09,,low_score_59.09090909090908
Dinh Nhung Rose,thiên nhiên,1,18,604,4964,,https://www.tiktok.com/@dinhnhungrose/video/7638431364689317127,1,10.08,,low_score_58.06451612903225
Beros,homestay,1,15,408,1192,,https://www.tiktok.com/@diadiem.luutru/video/7637828621704465684,1,10.06,,low_score_56.666666666666664
Café Sáng Ngã 3 Thác Pongour,cafe,1,23,326,1000,,https://www.tiktok.com/@smile.life.good/video/7593566255378926856,1,10.06,,low_score_51.162790697674424
Khu trưng bày cổ vật Pi Ni,địa điểm checkin,1,15,373,1807,,https://www.tiktok.com/@quanthedulichpini/video/7434349282196589844,1,10.05,,low_score_42.553191489361694
Biệt điện Trần Lệ Xuân,địa điểm checkin,1,6,441,738,,https://www.tiktok.com/@hazelssketches/video/7634577373265956117,1,10.05,,low_score_35.29411764705882
Tiem Com Tau,chợ quán,1,8,254,4329,,https://www.tiktok.com/@laurenvacula/video/7629196342413315358,1,10.03,,low_score_56.00000000000001
CAP 777,cafe,1,3,110,9,,https://www.tiktok.com/@cap777.bar/video/7637868447006723348,1,10.01,,zero_results
Quán siêu xinh,quán cà phê mây | Cafe May,1,3,39,2582,,https://www.tiktok.com/@gocnhodalat_01/video/7407332379066518791,0,10.01,,low_score_47.36842105263158
